#{"t_start": 1649682621.0002048, "env_id": "Reacher-v2"}
r,l,t
-85.872311,50,21.003612
-82.104878,50,21.054457
-69.989055,50,22.541594
-93.077752,50,22.592286
-72.814356,50,22.642779
-80.575109,50,22.693071
-94.025284,50,22.743113
-77.329276,50,22.792771
-84.093454,50,22.842695
-91.185638,50,22.892944
-88.786524,50,22.943175
-87.713688,50,22.993964
-80.140565,50,23.042701
-72.074371,50,23.092864
-93.296686,50,23.142477
-92.348074,50,23.194402
-97.669933,50,23.246524
-66.029557,50,23.297634
-87.995069,50,23.347495
-98.469175,50,23.397272
-85.564873,50,23.447068
-74.284191,50,23.496956
-80.302903,50,23.546916
-69.601883,50,23.596593
-88.072183,50,23.646548
-71.175367,50,23.696576
-83.114934,50,23.746839
-79.420914,50,23.796944
-73.924823,50,23.847245
-61.709425,50,23.897331
-103.773979,50,23.947292
-73.888446,50,23.997344
-82.275835,50,24.047933
-64.195436,50,24.098684
-80.762461,50,24.148185
-74.163406,50,24.197776
-93.154496,50,24.248492
-85.444441,50,24.297986
-80.169515,50,24.348738
-92.378269,50,24.399141
-92.874556,50,24.448518
-87.952287,50,24.498939
-73.174534,50,24.548864
-64.234697,50,25.976391
-84.127896,50,26.026134
-94.954771,50,26.076166
-63.243042,50,26.126522
-61.059152,50,26.178931
-76.28381,50,26.228734
-80.225215,50,26.278429
-73.088523,50,26.329907
-78.678955,50,26.380644
-72.974583,50,26.430857
-72.787041,50,26.480402
-75.505361,50,26.529902
-80.050848,50,26.579677
-98.101398,50,26.629024
-87.938878,50,26.679202
-53.974583,50,26.728745
-81.570669,50,26.778459
-93.287856,50,26.828094
-59.237747,50,26.877597
-77.948268,50,26.927489
-65.213141,50,26.977821
-83.882207,50,27.026383
-63.640214,50,27.076211
-80.323597,50,27.126049
-79.724645,50,27.176044
-68.262395,50,27.225653
-69.094673,50,27.275001
-104.162893,50,27.324452
-67.501175,50,27.37379
-66.103737,50,27.423255
-76.893156,50,27.472786
-74.271978,50,27.522184
-80.93377,50,27.571738
-77.473005,50,27.620951
-76.50782,50,27.670617
-65.770574,50,27.720031
-107.069186,50,27.769501
-60.4865,50,27.818684
-71.75393,50,27.868028
-86.431381,50,27.918099
-73.205318,50,27.967763
-66.580528,50,29.361843
-89.217437,50,29.413119
-76.034464,50,29.463412
-78.174496,50,29.514588
-71.357268,50,29.565622
-62.159595,50,29.615912
-75.754924,50,29.666923
-85.127778,50,29.716504
-58.746814,50,29.766525
-65.8038,50,29.816836
-55.590172,50,29.866549
-70.998756,50,29.916271
-83.464998,50,29.966766
-69.677322,50,30.0171
-85.37907,50,30.068999
-75.532163,50,30.120087
-57.905857,50,30.170373
-75.058507,50,30.220929
-65.812514,50,30.271312
-79.178867,50,30.322437
-62.226668,50,30.372964
-73.010308,50,30.424324
-78.996689,50,30.474307
-93.075819,50,30.525018
-77.643268,50,30.57528
-70.668352,50,30.625563
-63.961482,50,30.677169
-70.28347,50,30.727444
-68.269512,50,30.777402
-76.3884,50,30.827709
-57.356868,50,30.877531
-73.31693,50,30.928242
-71.318186,50,30.978546
-59.303083,50,31.029137
-74.652494,50,31.079296
-93.316372,50,31.129444
