#{"t_start": 1649547155.308617, "env_id": "PongNoFrameskip-v4"}
r,l,t
-20.0,892,5.338716
-21.0,907,9.154448
-21.0,947,12.966837
-18.0,1134,17.601067
-20.0,921,21.239526
-21.0,781,24.450238
-21.0,780,27.788132
-21.0,820,31.122677
-18.0,1069,35.574195
-20.0,840,38.952967
-20.0,915,42.574029
-21.0,881,46.317288
-21.0,781,49.526737
-20.0,835,52.909185
-21.0,961,56.921341
-20.0,836,60.408387
-21.0,908,63.983675
-20.0,915,67.748599
-21.0,806,71.150278
-21.0,869,74.730161
-20.0,1046,78.971335
-20.0,991,82.937728
-19.0,1138,87.68861
-21.0,848,91.212462
-21.0,822,94.675222
-20.0,929,98.344553
-21.0,880,101.932951
-20.0,955,105.925605
-21.0,906,109.626712
-21.0,790,112.851484
-20.0,934,116.536512
-20.0,887,120.292037
-21.0,817,123.47573
-21.0,823,126.955121
-21.0,823,130.276566
-20.0,961,134.360908
-20.0,839,137.759875
-20.0,924,141.534958
-20.0,836,144.946773
-18.0,1231,150.212485
-21.0,776,153.305165
-20.0,1007,157.327546
-20.0,1078,161.728433
-21.0,1007,165.928315
-20.0,1098,170.552085
-21.0,814,174.046187
-20.0,835,177.29884
-19.0,946,181.125795
-19.0,1008,185.326481
-20.0,1107,189.935103
-19.0,1059,194.331372
-20.0,867,197.795616
-20.0,1095,202.319424
-20.0,841,205.822453
-20.0,1260,211.198542
-18.0,1241,216.27577
-19.0,1083,220.637111
-19.0,1024,224.95491
-16.0,1398,230.608121
-18.0,1287,235.800897
-16.0,1709,242.735443
-19.0,1279,248.136653
-19.0,1194,252.921124
-17.0,1919,260.733899
-13.0,2127,269.273566
-17.0,1893,277.054763
-17.0,1843,284.573786
-18.0,1906,292.235248
-19.0,1752,299.605341
-15.0,2514,309.736802
-18.0,1863,317.492069
-17.0,2044,325.799329
-15.0,2579,336.316567
-20.0,2045,344.64021
-14.0,1942,352.50178
-15.0,1984,360.639712
-12.0,2638,371.084113
-14.0,2281,380.337323
-5.0,3015,392.617404
-9.0,2882,404.359199
-19.0,2078,412.760144
-16.0,2215,421.690879
-7.0,3037,434.059107
-11.0,2646,444.767965
-14.0,2018,453.097338
-1.0,3525,467.527541
-12.0,2168,476.324105
-4.0,2942,488.386053
-9.0,2834,499.761671
-7.0,2907,511.737013
-6.0,2428,521.501658
7.0,2862,533.060493
-8.0,2244,542.449896
4.0,3427,556.220925
10.0,2619,566.930781
12.0,2195,575.856973
-1.0,2793,587.267031
11.0,2305,596.631811
8.0,2736,607.772673
16.0,1954,615.795416
20.0,1659,622.217665
1.0,3275,635.636886
-2.0,2748,646.742436
18.0,1748,653.782477
5.0,2779,665.016335
16.0,2323,674.371482
9.0,2585,685.117221
16.0,2117,693.645936
8.0,2619,704.291028
