#{"t_start": 1649547155.3266757, "env_id": "PongNoFrameskip-v4"}
r,l,t
-21.0,972,5.708533
-18.0,1132,10.312296
-20.0,840,13.693364
-20.0,894,17.323609
-21.0,810,20.625524
-19.0,1024,24.826704
-21.0,822,28.303104
-20.0,983,32.377578
-21.0,986,36.324185
-21.0,843,39.837267
-20.0,1041,43.947041
-21.0,790,47.381018
-20.0,1146,51.954925
-21.0,1008,56.223305
-21.0,785,59.344955
-21.0,819,62.77784
-21.0,927,66.547611
-21.0,1019,70.854186
-21.0,786,74.075404
-19.0,1052,78.329429
-21.0,942,82.036748
-21.0,910,85.864707
-21.0,1090,90.362656
-21.0,777,93.562026
-21.0,882,97.195326
-21.0,839,100.586667
-20.0,838,104.064269
-21.0,790,107.168493
-20.0,927,110.934577
-21.0,832,114.41257
-20.0,1001,118.523981
-21.0,821,121.847615
-21.0,1031,126.061398
-20.0,984,130.125643
-18.0,1186,135.022123
-20.0,841,138.546946
-21.0,804,141.836433
-20.0,941,145.591639
-18.0,1160,150.510771
-20.0,841,154.005848
-21.0,940,157.724973
-20.0,898,161.323063
-21.0,938,165.132879
-21.0,822,168.691963
-20.0,838,172.209289
-21.0,779,175.410703
-20.0,836,178.914186
-21.0,876,182.409426
-21.0,881,186.119188
-20.0,946,189.974807
-19.0,1052,194.348117
-21.0,1019,198.403735
-20.0,1228,203.535264
-20.0,884,207.289569
-18.0,1303,212.681769
-18.0,1055,216.961876
-19.0,1241,222.061118
-19.0,1263,227.301411
-19.0,1140,232.024148
-20.0,1098,236.338603
-18.0,1593,242.816426
-19.0,1399,248.686184
-18.0,1477,254.615103
-20.0,1485,260.698984
-18.0,2077,269.087535
-18.0,1733,276.073268
-17.0,2079,284.634528
-17.0,2153,293.383218
-15.0,2471,303.68537
-13.0,2487,313.695593
-20.0,1971,321.775476
-14.0,2627,332.437674
-17.0,2659,343.433288
-19.0,1827,350.777143
-13.0,2336,360.27651
-16.0,1911,367.932235
-18.0,1931,375.654802
-9.0,2863,387.266791
-12.0,2419,397.079468
-19.0,2063,405.472864
-13.0,2020,413.758765
-9.0,2984,425.77055
-18.0,1833,433.316929
-14.0,1988,441.228118
-3.0,3347,454.894307
-6.0,2998,467.338963
-9.0,2617,477.992678
-4.0,3032,490.310279
-6.0,2664,501.073302
-3.0,2923,513.09605
4.0,3180,525.996706
14.0,2376,535.564582
6.0,2904,547.541744
8.0,2820,558.872607
-10.0,2669,569.839917
6.0,2939,581.548445
12.0,2457,591.644024
19.0,2205,600.779239
5.0,2982,612.845738
18.0,2013,620.930458
12.0,2469,631.073158
19.0,1686,637.697352
-3.0,3265,651.092494
17.0,2313,660.300507
17.0,2196,669.172492
16.0,2304,678.597398
-4.0,3110,691.310111
20.0,2079,699.726691
-3.0,3337,713.091453
20.0,1584,719.757406
-5.0,2971,731.88478
7.0,2545,742.061777
20.0,2035,750.564414
19.0,2103,758.92793
1.0,3537,773.256318
13.0,2464,783.15912
7.0,2842,794.700259
18.0,2212,803.942906
14.0,2525,814.053255
18.0,2320,823.389859
19.0,1632,830.0966
17.0,1785,837.505816
18.0,2152,846.152052
-2.0,3434,859.94769
16.0,2485,870.15337
17.0,2197,879.119428
20.0,1612,885.823333
16.0,1864,893.417897
18.0,1711,900.546449
13.0,2340,909.98832
7.0,2976,922.287679
20.0,1595,928.775331
13.0,2422,938.560338
19.0,1693,945.457787
14.0,2148,954.069419
5.0,3234,967.242558
17.0,1918,975.195616
17.0,2224,984.04072
14.0,2448,994.285971
17.0,2209,1003.238135
9.0,2556,1013.764167
18.0,2179,1022.614344
21.0,1966,1030.816133
17.0,2165,1039.588329
11.0,2450,1049.590159
13.0,2220,1058.662594
7.0,2801,1070.085907
20.0,1562,1076.37237
17.0,2231,1085.568701
19.0,1726,1092.533085
20.0,2001,1100.713116
18.0,1667,1107.539294
18.0,2218,1116.468991
20.0,1621,1123.128484
20.0,1990,1131.064957
16.0,1879,1138.862281
19.0,1678,1145.529184
19.0,2088,1154.152884
14.0,2339,1163.583444
17.0,2195,1172.605593
16.0,1913,1180.299227
18.0,1752,1187.367799
20.0,2065,1195.990994
20.0,1561,1202.365525
7.0,3118,1215.207355
20.0,2002,1223.26475
18.0,1727,1230.396485
19.0,1694,1237.405413
13.0,2124,1245.964231
18.0,1788,1253.163059
16.0,1875,1260.568046
18.0,2210,1269.94465
18.0,2201,1278.908191
7.0,2652,1289.573781
18.0,1786,1296.865596
13.0,2316,1306.24733
16.0,1979,1314.571579
16.0,1908,1322.230343
17.0,2236,1331.411057
15.0,2405,1341.220172
18.0,2211,1350.141172
13.0,2598,1360.826254
20.0,1614,1367.236282
19.0,1753,1374.556382
19.0,2038,1382.764728
19.0,2135,1391.584633
20.0,1623,1398.139788
19.0,1636,1404.80098
21.0,1592,1411.348393
20.0,2010,1419.564698
19.0,2130,1428.243133
12.0,2510,1438.302866
17.0,2208,1447.309423
16.0,1820,1454.690248
17.0,2359,1464.320604
19.0,2136,1473.138782
16.0,2242,1482.155101
19.0,2119,1490.879972
18.0,2171,1499.589078
18.0,2216,1508.689281
17.0,2241,1517.582476
19.0,1766,1524.806158
19.0,2042,1533.088386
19.0,1773,1540.265107
6.0,3193,1553.247639
19.0,1817,1560.688383
19.0,2134,1569.345962
18.0,1873,1576.88647
12.0,2755,1588.040633
15.0,2418,1597.932838
18.0,2011,1606.14735
18.0,2117,1614.817404
20.0,2263,1624.266005
19.0,2135,1632.734932
19.0,2044,1641.149982
15.0,1809,1648.264678
14.0,2040,1656.801785
16.0,1923,1664.385343
20.0,1973,1672.725852
19.0,2375,1682.051391
15.0,2285,1691.468481
19.0,2116,1700.000808
20.0,1625,1706.586328
18.0,1735,1713.729757
10.0,2428,1723.659726
20.0,1996,1731.702654
19.0,1633,1738.330534
17.0,1757,1745.551538
3.0,3443,1759.489465
18.0,2233,1768.400369
18.0,1747,1775.811493
18.0,2098,1784.166825
15.0,2493,1794.305252
19.0,1725,1801.201241
20.0,2007,1809.480056
19.0,1751,1816.414126
17.0,1923,1824.208673
19.0,2148,1832.822668
19.0,1630,1839.423471
20.0,1564,1845.624276
19.0,2043,1853.908904
17.0,1904,1861.691254
21.0,1974,1869.549741
15.0,2418,1879.367062
10.0,3013,1891.560432
19.0,2119,1900.349652
15.0,2423,1909.908221
19.0,1629,1916.740281
19.0,2103,1925.057404
20.0,1992,1933.363253
20.0,1617,1939.760681
20.0,2129,1948.548167
20.0,2107,1957.189338
17.0,2153,1965.913167
15.0,1987,1974.149263
17.0,1867,1981.564146
16.0,1912,1989.417397
17.0,1932,1997.381941
18.0,2212,2006.544616
19.0,2131,2015.114085
18.0,2291,2024.477031
16.0,1980,2032.445467
12.0,2556,2043.010028
17.0,2259,2052.112049
17.0,2305,2061.536265
18.0,2273,2070.912044
16.0,2398,2080.807781
19.0,2133,2089.397322
18.0,2198,2098.326555
20.0,1625,2105.014543
18.0,1763,2112.217408
19.0,1776,2119.404736
20.0,1994,2127.449261
18.0,1897,2135.413593
20.0,1722,2142.513117
19.0,1753,2149.575333
19.0,2030,2157.888373
20.0,2117,2166.679093
9.0,2643,2177.408986
15.0,1967,2185.493236
19.0,2167,2194.290924
18.0,1711,2201.379343
19.0,2131,2209.971234
18.0,1733,2217.110006
18.0,2104,2225.731519
18.0,1937,2233.870229
19.0,1661,2240.348653
20.0,1625,2247.173137
18.0,1810,2254.537696
