#{"t_start": 1649547155.2830293, "env_id": "PongNoFrameskip-v4"}
r,l,t
-21.0,894,5.382465
-21.0,908,9.19776
-20.0,959,13.046031
-20.0,926,16.79405
-21.0,782,19.872601
-20.0,841,23.394509
-21.0,783,26.623134
-20.0,1152,31.472985
-21.0,900,35.126958
-18.0,1054,39.427848
-21.0,821,42.767488
-21.0,898,46.562241
-20.0,951,50.397973
-20.0,1055,54.70248
-20.0,897,58.367815
-21.0,838,61.874454
-19.0,1015,66.021883
-19.0,1116,70.587394
-20.0,831,74.090702
-20.0,836,77.435783
-20.0,864,80.916542
-20.0,978,84.953132
-20.0,900,88.634971
-21.0,957,92.499448
-20.0,1150,97.333165
-21.0,810,100.499651
-21.0,914,104.452092
-20.0,994,108.386064
-21.0,899,111.973912
-20.0,916,115.808596
-20.0,1045,120.19552
-21.0,823,123.395453
-20.0,976,127.475903
-20.0,1106,132.017605
-21.0,928,135.891357
-21.0,818,139.294517
-20.0,911,142.950806
-21.0,787,146.205018
-21.0,992,150.39664
-21.0,1063,154.722826
-19.0,1043,158.865187
-21.0,842,162.38847
-21.0,939,166.211016
-20.0,952,170.280298
-20.0,1047,174.667479
-20.0,862,178.234809
-19.0,1030,182.330355
-20.0,1066,186.750669
-20.0,996,190.84488
-19.0,1399,196.62827
-21.0,902,200.324285
-19.0,992,204.358233
-20.0,1161,209.215865
-19.0,956,213.216043
-21.0,1118,217.79798
-19.0,1203,222.710239
-16.0,1347,228.273819
-15.0,1779,235.446537
-17.0,1555,241.800632
-16.0,1805,249.398019
-19.0,2122,257.906986
-20.0,1897,265.670701
-21.0,1945,273.428768
-18.0,1770,280.781022
-13.0,2557,291.086985
-18.0,2010,299.465924
-16.0,2176,308.271467
-18.0,1816,315.646966
-21.0,2525,325.998051
-18.0,2305,335.360338
-17.0,2220,344.52029
-13.0,2433,354.474701
-16.0,1896,361.980863
-12.0,2615,372.464227
-14.0,2320,381.873814
-12.0,2480,391.839125
-11.0,2677,402.777851
-7.0,3229,415.995066
-8.0,2753,427.079055
-9.0,2772,438.339044
-14.0,1735,445.428391
-8.0,2809,456.932757
-10.0,2229,466.105854
-9.0,2845,477.733183
-5.0,3370,491.501584
-9.0,2273,500.59318
-1.0,3621,515.331248
-2.0,3304,528.8394
5.0,3213,541.950394
2.0,3326,555.347229
7.0,2683,566.328713
2.0,3537,580.573009
8.0,2661,591.399661
1.0,3540,606.110542
15.0,1998,614.033471
3.0,3276,627.258218
9.0,2815,638.670602
8.0,2657,649.516091
17.0,1853,656.848139
17.0,1728,663.961334
1.0,3462,677.970993
17.0,2246,687.223365
18.0,1912,694.863663
19.0,1690,701.758234
20.0,1622,708.337322
15.0,2288,717.797067
18.0,1730,724.673654
20.0,1627,731.349998
6.0,3049,743.737362
16.0,1928,751.686491
-2.0,3448,765.663355
16.0,1958,773.42709
10.0,2648,784.129588
17.0,2113,792.636772
16.0,1971,800.80267
19.0,2145,809.37579
15.0,2480,819.583873
17.0,1964,827.504555
17.0,1856,835.365005
18.0,2074,843.54206
20.0,1604,850.027892
10.0,2689,860.782033
1.0,3769,876.368658
20.0,2126,885.051888
6.0,2995,897.398917
12.0,2485,907.589017
15.0,2223,916.445396
16.0,2433,926.512817
9.0,2925,938.499446
20.0,2067,946.800689
7.0,3088,959.517438
14.0,2392,968.991195
13.0,2494,979.292968
20.0,2035,987.642865
20.0,1613,994.315033
20.0,1624,1000.918799
6.0,3255,1014.271976
17.0,2173,1023.109355
20.0,2047,1031.546129
18.0,1652,1038.17942
20.0,1619,1044.968658
12.0,2375,1054.490056
16.0,1865,1062.249342
10.0,2819,1073.77442
20.0,2007,1081.829025
12.0,2647,1092.634941
3.0,3413,1106.633539
20.0,1567,1112.987611
18.0,2193,1121.865444
18.0,1808,1129.000449
12.0,2181,1138.0
13.0,2511,1148.124183
12.0,2729,1159.447752
20.0,1624,1165.936661
9.0,2293,1175.395425
10.0,2523,1185.490295
14.0,2139,1194.40518
20.0,2005,1202.654168
20.0,2092,1211.093466
20.0,1626,1217.902678
20.0,1618,1224.311481
20.0,1625,1231.118321
10.0,2220,1240.107107
20.0,1623,1246.680444
19.0,1693,1253.553967
19.0,2130,1262.099298
19.0,2206,1271.23818
-2.0,3841,1286.984586
-1.0,3608,1301.555925
17.0,2013,1309.76204
2.0,3598,1324.549289
17.0,1966,1332.589475
20.0,2009,1340.792391
20.0,2037,1349.071442
19.0,2083,1357.491673
20.0,1995,1365.656513
12.0,2044,1373.995118
15.0,2273,1383.252624
19.0,2197,1392.378089
17.0,1900,1399.878825
16.0,2333,1409.615479
19.0,1693,1416.442299
19.0,2193,1425.324812
19.0,2136,1434.143619
18.0,1888,1441.617556
18.0,2161,1450.484358
19.0,2208,1459.420988
19.0,1779,1466.695205
18.0,1970,1474.769328
16.0,1969,1482.721834
14.0,2135,1491.503868
16.0,2076,1499.852077
2.0,3572,1514.387352
18.0,2149,1523.008087
19.0,1817,1530.387457
11.0,2357,1539.918341
21.0,2051,1548.391802
19.0,1770,1555.405552
19.0,2086,1564.083103
19.0,2137,1572.668382
20.0,2187,1581.63352
20.0,2133,1590.184123
19.0,2137,1598.915017
20.0,2066,1607.374364
19.0,1885,1615.04129
16.0,2146,1623.949036
19.0,1648,1630.588658
20.0,1993,1638.737889
17.0,1984,1646.639026
21.0,2035,1655.158276
15.0,2017,1663.131799
20.0,2000,1671.325012
19.0,1725,1678.333735
18.0,2172,1687.130267
19.0,1906,1694.705428
19.0,1817,1702.101934
15.0,2398,1711.854351
8.0,3086,1724.486059
13.0,2585,1735.055873
19.0,1629,1741.655221
10.0,2837,1753.180987
20.0,1626,1759.754457
19.0,2136,1768.349837
17.0,2132,1777.292516
21.0,1591,1783.633783
19.0,2133,1792.336883
20.0,1592,1798.691744
16.0,2327,1808.195391
20.0,1567,1814.334325
18.0,1861,1822.002841
17.0,2261,1831.031331
16.0,1871,1838.477219
18.0,2078,1846.808157
-2.0,3450,1860.899872
20.0,1591,1867.356681
20.0,2004,1875.198994
15.0,2013,1883.540233
18.0,1788,1890.723604
20.0,2001,1899.147624
20.0,1627,1905.507178
20.0,2002,1913.559725
15.0,2309,1922.972159
20.0,1622,1929.544824
17.0,1924,1937.502509
20.0,2067,1945.988268
19.0,2144,1954.822491
12.0,2145,1963.443332
20.0,1566,1969.699054
13.0,2266,1979.016317
16.0,1899,1986.697194
5.0,3481,2000.888943
19.0,1815,2008.587924
19.0,1713,2015.460096
19.0,1767,2022.429432
19.0,1775,2029.769485
19.0,2136,2038.359719
20.0,2062,2046.959209
16.0,2346,2056.402029
20.0,1687,2063.51668
18.0,1867,2071.065489
17.0,1841,2078.680773
15.0,2447,2088.687377
18.0,1844,2096.171613
18.0,1958,2104.107734
13.0,2362,2113.744962
19.0,1765,2120.993382
20.0,2063,2129.349173
7.0,3246,2142.734982
17.0,1883,2150.471318
14.0,2091,2158.923255
19.0,1698,2165.964624
11.0,2986,2178.310982
15.0,2259,2187.419917
21.0,1588,2193.97716
19.0,1715,2200.930264
17.0,2445,2210.867738
20.0,2165,2219.651195
19.0,2014,2228.139135
17.0,1869,2235.710551
20.0,2145,2244.488086
16.0,2384,2254.306578
19.0,2134,2262.879402
