#{"t_start": 1649547155.3266757, "env_id": "PongNoFrameskip-v4"}
r,l,t
-21.0,819,4.995672
-19.0,1021,9.282895
-19.0,1055,13.538676
-20.0,1164,18.241736
-20.0,1046,22.490283
-21.0,868,26.026773
-21.0,836,29.69141
-21.0,901,33.318776
-20.0,988,37.272581
-21.0,819,40.707319
-20.0,1015,44.858755
-20.0,886,48.633946
-20.0,1132,53.043356
-21.0,827,56.635938
-19.0,1065,60.94494
-19.0,1036,65.032157
-21.0,1000,69.209783
-21.0,970,73.410024
-20.0,1056,77.678905
-20.0,834,80.940437
-18.0,1203,85.919152
-21.0,764,89.039579
-20.0,976,93.07402
-20.0,976,97.121781
-21.0,786,100.226876
-18.0,1208,105.198858
-21.0,945,109.127621
-21.0,986,113.091543
-21.0,847,116.496084
-21.0,818,119.91575
-20.0,929,123.705423
-21.0,819,127.051864
-21.0,792,130.277795
-20.0,834,133.849615
-21.0,821,137.195555
-21.0,881,140.833412
-21.0,901,144.443992
-21.0,909,148.277052
-21.0,821,151.62405
-20.0,1096,156.13386
-21.0,778,159.245613
-21.0,838,162.779102
-20.0,1063,167.166619
-18.0,1200,172.134867
-21.0,865,175.729335
-20.0,836,179.232588
-21.0,843,182.514876
-20.0,885,186.237427
-21.0,818,189.541937
-21.0,969,193.686062
-20.0,972,197.471117
-19.0,1093,201.977863
-21.0,823,205.429989
-20.0,908,209.365786
-18.0,1207,214.244365
-19.0,1132,218.874198
-20.0,1230,223.955843
-16.0,1562,230.436802
-17.0,1550,236.675051
-19.0,1506,242.76032
-20.0,1488,249.028674
-19.0,1614,255.547143
-21.0,1429,261.292285
-17.0,2206,270.211843
-17.0,2182,279.251858
-16.0,1911,287.001496
-20.0,2141,295.754576
-15.0,2253,304.932526
-18.0,2067,313.313208
-17.0,1975,321.513659
-16.0,2232,330.50104
-18.0,2006,338.827241
-16.0,1893,346.45368
-11.0,2649,357.168973
-16.0,2130,365.731968
-13.0,2176,374.545882
-16.0,1724,381.424627
-13.0,2204,390.449604
-7.0,3224,403.557271
-9.0,2916,415.430167
-7.0,2854,426.897513
-6.0,3195,439.95294
-13.0,2085,448.599631
-12.0,2122,457.184116
-4.0,2974,469.314434
-12.0,1957,477.252953
-4.0,2979,489.41304
-3.0,3509,503.703688
-2.0,3554,517.973589
4.0,3064,530.500513
13.0,2527,540.884497
7.0,2698,551.857297
2.0,2855,563.42181
-5.0,2924,575.30079
10.0,2261,584.586019
19.0,1754,591.625917
13.0,2216,600.811936
3.0,3338,614.309594
20.0,1627,620.85456
16.0,2010,628.91088
13.0,2361,638.521614
-2.0,3264,651.794517
-4.0,3098,664.21108
16.0,2119,672.830676
12.0,2404,682.76212
18.0,1816,690.189211
17.0,1824,697.609575
-10.0,2295,706.754984
18.0,1900,714.510329
17.0,2233,723.593313
20.0,2006,731.835425
20.0,2040,740.039792
16.0,2172,748.949416
20.0,1622,755.607069
14.0,2213,764.475265
7.0,3014,776.605302
20.0,1603,783.053671
15.0,1946,790.956076
11.0,2701,802.042424
12.0,2553,812.29827
5.0,2825,823.801724
17.0,1832,831.361202
15.0,2198,840.372038
16.0,2136,848.842579
15.0,2237,857.953487
18.0,2198,866.943623
19.0,1635,873.636041
7.0,2715,884.782274
20.0,1622,891.454909
9.0,2735,902.638627
7.0,2750,913.772264
10.0,2787,925.275421
19.0,1751,932.340898
18.0,1805,939.821696
5.0,3091,952.215615
20.0,2067,960.677328
7.0,2941,972.662306
20.0,1561,978.930011
19.0,1668,985.618655
2.0,3250,999.256234
19.0,1634,1005.85951
17.0,2070,1014.332241
20.0,1626,1020.892579
20.0,1627,1027.714412
7.0,2937,1039.66918
19.0,2135,1048.247677
19.0,1714,1055.371371
14.0,2020,1063.649583
19.0,2102,1072.273239
17.0,2247,1081.428582
19.0,2126,1090.081481
19.0,1631,1096.660967
10.0,2397,1106.505042
19.0,2080,1114.898817
20.0,1627,1121.443804
20.0,2004,1129.529819
19.0,2059,1137.925484
18.0,1911,1145.634797
16.0,1835,1153.218723
16.0,2310,1162.565717
8.0,2775,1173.958462
3.0,3410,1187.729937
20.0,1672,1194.783332
20.0,1561,1201.026262
17.0,1816,1208.567099
20.0,2064,1216.915841
-2.0,3373,1230.821766
21.0,2029,1239.069216
17.0,1737,1246.090379
17.0,1856,1253.598186
19.0,2257,1262.763463
18.0,1799,1270.184958
18.0,2021,1278.428744
19.0,1634,1285.231884
17.0,1829,1292.41858
13.0,2097,1301.008391
19.0,2130,1309.683134
19.0,1697,1316.700431
20.0,1562,1322.968615
-6.0,2735,1334.42368
19.0,1635,1340.893097
20.0,2126,1349.557882
20.0,2005,1357.740992
19.0,2134,1366.319648
18.0,1798,1373.647121
19.0,1726,1380.782071
16.0,1951,1388.711285
2.0,3152,1401.664094
18.0,2145,1410.404979
16.0,2418,1420.231486
19.0,1814,1427.583763
3.0,3410,1441.427812
15.0,2416,1451.321827
