#{"t_start": 1649547155.3152368, "env_id": "PongNoFrameskip-v4"}
r,l,t
20.0,2129,1952.300042
16.0,1824,1959.615554
20.0,2174,1968.504891
18.0,2212,1977.544997
19.0,2088,1986.01009
19.0,1713,1993.207946
19.0,2319,2002.374103
9.0,2887,2014.391372
17.0,2213,2023.300226
19.0,2044,2031.573367
20.0,2114,2040.203965
15.0,2324,2049.740945
20.0,1654,2056.383921
15.0,2527,2066.873068
19.0,2185,2075.751359
18.0,1726,2083.1095
18.0,2166,2091.701288
20.0,1623,2098.26998
19.0,2136,2106.989109
19.0,2159,2115.889887
19.0,1632,2122.4863
20.0,1626,2129.035599
19.0,2218,2138.248366
16.0,2337,2147.902542
18.0,1743,2154.845385
18.0,2078,2163.52675
19.0,1775,2170.675779
16.0,1873,2178.499212
20.0,2114,2187.133343
16.0,2407,2196.909803
16.0,2342,2206.489683
20.0,1752,2213.480204
20.0,1622,2220.138812
18.0,2412,2230.19932
19.0,2042,2238.529341
18.0,1818,2246.020921
17.0,1913,2253.861002
18.0,1802,2261.077752
18.0,1801,2268.509353
16.0,2070,2276.642018
17.0,2204,2285.586767
13.0,2517,2295.929072
20.0,2038,2304.234299
18.0,1937,2312.102598
20.0,2052,2320.681978
19.0,2223,2329.410339
20.0,1624,2336.332546
19.0,1600,2342.599713
20.0,2065,2351.334058
21.0,2054,2359.575065
17.0,2077,2368.119165
18.0,2214,2376.936647
19.0,1768,2384.307302
18.0,1811,2391.559057
14.0,2283,2401.180577
16.0,2301,2410.574872
20.0,2149,2419.192966
20.0,1626,2425.894693
14.0,2215,2434.825518
18.0,1737,2441.989563
19.0,2166,2450.681157
20.0,1714,2457.732579
20.0,2115,2466.294498
14.0,2340,2475.866429
20.0,1604,2482.571899
18.0,2158,2491.498385
19.0,2192,2500.367115
18.0,1833,2507.898388
19.0,2134,2516.840974
20.0,1623,2523.245893
16.0,2324,2532.761562
14.0,2396,2542.599964
18.0,2210,2551.57618
19.0,2224,2560.786789
13.0,2769,2571.836451
18.0,1886,2579.883113
19.0,2169,2588.681083
20.0,1621,2595.375695
19.0,2137,2603.94086
16.0,2429,2613.681768
19.0,2223,2622.767071
21.0,2173,2631.454876
18.0,2197,2640.464052
13.0,2681,2651.258135
20.0,1996,2659.294884
20.0,2084,2667.736208
21.0,1971,2675.844193
17.0,1946,2683.613595
18.0,1805,2690.748392
20.0,1722,2697.980429
21.0,2100,2706.353064
19.0,2124,2715.137101
18.0,2330,2724.431468
20.0,2037,2732.985932
19.0,2204,2741.78166
16.0,2442,2751.787442
17.0,2114,2760.308336
19.0,2195,2769.5812
18.0,1795,2776.94964
17.0,2533,2787.164954
19.0,1771,2794.541126
19.0,2178,2803.365537
20.0,2041,2811.753076
19.0,2190,2820.594447
19.0,2066,2828.924388
19.0,2282,2838.07435
17.0,2398,2847.68024
17.0,1878,2855.427584
20.0,1627,2861.8545
20.0,1648,2868.513017
18.0,2288,2877.77836
18.0,2266,2887.227151
18.0,1836,2894.567884
20.0,2095,2903.116954
20.0,1619,2909.712961
19.0,2158,2918.491066
20.0,1627,2924.964637
19.0,2226,2934.087243
20.0,2147,2942.808129
20.0,1625,2949.504996
19.0,2301,2958.826169
17.0,2185,2967.80106
18.0,1870,2975.412683
21.0,1740,2982.515877
17.0,1748,2989.580949
19.0,1647,2996.598636
21.0,1738,3003.682899
20.0,2113,3012.120263
18.0,2571,3022.57275
20.0,2007,3030.80146
20.0,2054,3039.089734
20.0,2487,3049.142455
20.0,2429,3059.003068
19.0,1860,3066.677526
20.0,2072,3075.121553
19.0,2194,3083.95865
20.0,1563,3090.270034
15.0,2048,3098.587947
16.0,2138,3107.427334
20.0,2189,3116.38633
19.0,1952,3124.30128
20.0,2193,3133.301234
20.0,2134,3141.997563
19.0,2011,3150.230677
17.0,2175,3159.186472
20.0,2000,3167.181156
18.0,1782,3174.611183
17.0,1973,3182.586355
20.0,2129,3191.393966
18.0,2649,3202.358497
18.0,2090,3210.902423
20.0,1618,3217.813864
20.0,1613,3224.250328
18.0,2291,3233.781053
19.0,2542,3244.233562
18.0,2244,3253.532207
19.0,2180,3262.508781
20.0,1673,3269.31896
19.0,2060,3277.708668
20.0,1618,3284.127555
20.0,1617,3290.677589
18.0,2300,3300.129304
16.0,1864,3307.659796
18.0,1783,3315.104522
18.0,1737,3322.136801
18.0,2549,3332.716553
20.0,1624,3339.290848
17.0,2070,3347.676808
20.0,1617,3354.206029
18.0,1922,3362.027961
19.0,2496,3372.302766
20.0,2073,3380.934566
20.0,2072,3389.327378
20.0,2068,3397.693482
19.0,2167,3406.603404
18.0,2586,3417.045447
17.0,2088,3425.763634
20.0,1651,3432.511138
19.0,1742,3439.431155
20.0,2095,3448.140335
20.0,2134,3456.737476
19.0,2088,3465.182225
20.0,2073,3473.511512
17.0,2208,3482.503334
16.0,2306,3491.848074
10.0,3518,3506.153468
18.0,2630,3516.954207
20.0,1615,3523.512091
17.0,2416,3533.397603
20.0,2001,3541.581143
19.0,1839,3549.179319
20.0,1733,3556.174482
19.0,2377,3565.725968
20.0,2191,3574.709456
19.0,1748,3581.885137
20.0,2132,3590.625817
20.0,2074,3599.005945
20.0,2131,3607.941571
16.0,2648,3618.785252
18.0,1743,3625.973719
19.0,2631,3636.671754
18.0,2200,3645.710578
14.0,2690,3656.621393
20.0,2573,3667.133842
19.0,1876,3674.595549
19.0,1726,3681.586201
19.0,1782,3688.986804
19.0,2212,3698.027146
17.0,1902,3705.698815
20.0,2055,3714.166005
21.0,2530,3724.424169
20.0,1614,3731.017761
20.0,2128,3739.648628
18.0,2031,3748.146786
20.0,2179,3756.902282
19.0,2008,3765.01217
19.0,2329,3774.378276
20.0,2067,3782.894865
20.0,1619,3789.330619
19.0,2102,3797.82467
20.0,1619,3804.503887
20.0,2006,3812.575783
20.0,2195,3821.481732
19.0,1700,3828.142921
18.0,2022,3836.487899
16.0,2061,3844.73012
19.0,2256,3854.084986
17.0,2122,3862.500208
17.0,1965,3870.586696
20.0,1613,3877.109242
17.0,1994,3885.162018
20.0,1614,3891.716798
20.0,1705,3898.729925
18.0,1731,3905.724356
21.0,2531,3916.081118
16.0,2169,3924.783699
15.0,2199,3933.812909
20.0,2133,3942.640477
19.0,1951,3950.452023
17.0,2200,3959.611983
20.0,2071,3968.008211
20.0,2129,3976.760243
19.0,2041,3985.142954
16.0,2661,3996.16847
20.0,1618,4002.729969
20.0,1623,4009.428719
20.0,2074,4018.093736
20.0,2067,4026.41245
20.0,1616,4033.144808
20.0,2255,4042.096594
20.0,1618,4048.961282
19.0,1636,4055.459935
20.0,1610,4061.992119
19.0,1805,4069.594454
17.0,1959,4077.459249
20.0,1618,4083.970113
21.0,2531,4094.386112
20.0,2444,4104.275294
20.0,2258,4113.464689
19.0,1995,4121.56364
20.0,1616,4128.059326
20.0,2067,4136.433585
12.0,2769,4147.868767
20.0,2194,4156.990851
20.0,2190,4165.747616
17.0,2091,4174.312609
20.0,1749,4181.371753
20.0,1618,4187.923398
20.0,1618,4194.490938
20.0,2130,4203.043442
17.0,1925,4210.903514
18.0,1996,4218.998276
21.0,1977,4227.03773
18.0,1907,4234.908642
15.0,2218,4243.912519
20.0,2193,4252.770525
20.0,2149,4261.508954
20.0,1618,4268.288459
18.0,1772,4275.273815
18.0,1921,4283.196126
17.0,2233,4292.204716
20.0,2073,4300.707885
20.0,1616,4307.276797
20.0,1614,4313.812604
20.0,2159,4322.496352
19.0,1877,4330.2995
20.0,2193,4339.171172
19.0,1866,4346.839973
20.0,1619,4353.529803
20.0,2071,4361.821272
21.0,2054,4370.507889
19.0,1876,4378.068051
19.0,2175,4387.079679
13.0,2762,4398.127504
17.0,2237,4407.62279
20.0,2387,4417.20592
20.0,1619,4423.918136
20.0,1614,4430.541546
20.0,2195,4439.42724
20.0,1751,4446.735176
21.0,2528,4456.853184
19.0,1873,4464.523867
20.0,1613,4470.940267
20.0,2071,4479.605212
20.0,1616,4486.01301
20.0,2070,4494.274807
20.0,1681,4501.276921
20.0,1753,4508.260211
18.0,2769,4519.614893
20.0,2521,4529.802084
20.0,1687,4536.734939
17.0,2117,4545.201274
20.0,1613,4551.758061
21.0,2528,4562.11664
20.0,2131,4570.604527
19.0,2167,4579.403821
20.0,1618,4585.82505
20.0,1753,4592.9045
20.0,2131,4601.498117
21.0,2529,4611.959667
20.0,2128,4620.388037
21.0,2533,4630.953465
20.0,1753,4637.970527
18.0,2120,4646.6303
19.0,2690,4657.47673
20.0,2133,4666.085572
19.0,2257,4675.245193
20.0,2204,4684.388669
20.0,2001,4692.582847
20.0,2127,4701.264591
21.0,2531,4711.662806
17.0,2807,4723.293664
17.0,2084,4731.765868
20.0,2193,4740.636672
20.0,2238,4749.871279
19.0,1677,4756.701536
19.0,1675,4763.548177
20.0,2133,4772.149073
19.0,1807,4779.490111
20.0,1682,4786.493629
20.0,2128,4795.052078
20.0,1614,4801.682807
20.0,1616,4808.224595
17.0,1950,4816.37158
20.0,2130,4825.101005
19.0,2154,4833.853953
20.0,1687,4840.742403
20.0,1617,4847.537954
18.0,2001,4855.584509
19.0,1874,4863.176262
20.0,2132,4871.983687
20.0,2281,4881.377331
18.0,2666,4892.158546
20.0,1687,4899.025445
20.0,1614,4905.45102
20.0,1685,4912.312391
20.0,2131,4921.0951
20.0,1680,4927.830594
18.0,1812,4935.095815
20.0,2133,4943.7795
20.0,1681,4950.542919
21.0,2117,4959.078603
20.0,1683,4966.062858
20.0,1619,4972.521133
20.0,2128,4981.262087
19.0,1652,4987.865771
18.0,1954,4995.897974
20.0,1623,5002.436314
20.0,2132,5011.03499
20.0,1686,5017.941156
20.0,2193,5027.041903
20.0,1616,5033.594698
20.0,1613,5039.999043
18.0,1865,5047.766472
19.0,1741,5054.800619
20.0,2357,5064.394743
19.0,1808,5071.788146
19.0,1677,5078.501919
19.0,2389,5088.47125
19.0,1673,5095.068228
