#{"t_start": 1649547155.305801, "env_id": "PongNoFrameskip-v4"}
r,l,t
-21.0,843,5.138004
-20.0,975,9.230086
-20.0,965,13.094917
-21.0,819,16.507776
-20.0,898,20.067155
-20.0,1067,24.400145
-21.0,913,28.271621
-21.0,786,31.519395
-20.0,873,35.073344
-21.0,824,38.435088
-21.0,839,41.833291
-21.0,886,45.483409
-20.0,835,48.972632
-20.0,865,52.416571
-21.0,944,56.37158
-20.0,832,59.8319
-21.0,1007,63.866553
-21.0,819,67.231192
-21.0,1001,71.465908
-21.0,828,74.805584
-20.0,975,78.815275
-21.0,791,81.931786
-20.0,924,85.679271
-21.0,817,89.120295
-20.0,1005,93.366144
-20.0,956,97.240433
-19.0,1044,101.371622
-20.0,926,105.234069
-21.0,824,108.667213
-21.0,820,111.870003
-19.0,996,115.964025
-21.0,814,119.359337
-21.0,946,123.209867
-21.0,823,126.564151
-20.0,1020,130.807458
-20.0,1050,135.10783
-20.0,900,138.81293
-19.0,926,142.587059
-20.0,958,146.603935
-20.0,990,150.806196
-20.0,882,154.439696
-21.0,864,157.790519
-21.0,941,161.63559
-18.0,1087,166.130808
-20.0,920,169.984122
-21.0,907,173.824435
-20.0,1095,178.357483
-21.0,906,181.949885
-21.0,901,185.713963
-20.0,1003,189.855145
-20.0,992,193.940175
-20.0,992,197.908818
-20.0,1024,202.084603
-20.0,898,205.89599
-18.0,1151,210.809649
-19.0,1167,215.507543
-19.0,1102,220.014454
-19.0,1133,224.842917
-21.0,1287,230.040401
-18.0,1353,235.441064
-19.0,1464,241.506853
-19.0,1325,246.940086
-14.0,1686,253.687741
-16.0,1576,260.21056
-18.0,1775,267.356922
-19.0,2100,275.843919
-16.0,1946,283.938239
-20.0,1875,291.489207
-15.0,2378,301.36052
-21.0,1849,308.890634
-16.0,2198,317.903924
-17.0,2046,326.222993
-21.0,1661,332.885938
-15.0,2252,342.125881
-13.0,2790,353.444585
-16.0,2188,362.31432
-15.0,3026,374.504479
-19.0,1745,381.464984
-18.0,1790,388.760995
-21.0,1888,396.466538
-17.0,1679,403.217454
-16.0,1926,411.060241
-3.0,3593,425.562316
-9.0,2759,436.866166
-1.0,3585,451.581408
-9.0,2383,461.237379
-8.0,2365,470.88084
-4.0,3225,484.17724
-8.0,2707,495.176015
-3.0,3335,508.786106
2.0,3456,522.742573
-9.0,2381,532.344387
-6.0,2318,541.886961
2.0,3216,554.847387
17.0,1894,562.655276
-6.0,2356,572.226626
6.0,2727,583.287014
3.0,3295,596.742056
8.0,2722,607.818644
19.0,1842,615.37401
19.0,1685,621.993908
13.0,2394,631.937808
13.0,2410,641.334411
17.0,1946,649.415634
-7.0,2778,660.523071
14.0,2622,671.254511
11.0,2554,681.673074
1.0,3374,695.303923
-1.0,3445,709.380863
18.0,1874,717.145341
1.0,3541,731.391373
14.0,2447,741.228443
5.0,2955,753.361715
20.0,1621,759.895623
3.0,3871,775.591137
15.0,2158,784.230593
18.0,1821,791.604758
18.0,1871,799.256178
15.0,2143,808.043602
15.0,1965,815.997299
20.0,1994,824.124677
11.0,2508,834.420113
15.0,2594,844.761773
7.0,2565,855.226463
20.0,1561,861.598981
15.0,2309,871.033501
17.0,2263,880.212598
19.0,2104,889.048707
1.0,3357,902.724735
20.0,1621,909.370112
9.0,2872,921.141091
20.0,1624,927.812477
18.0,1772,934.700604
-5.0,2849,946.50102
20.0,1990,954.524587
16.0,2278,963.737086
20.0,2029,972.118906
20.0,2072,980.431662
20.0,1592,986.87662
19.0,1634,993.811136
19.0,1700,1000.642104
5.0,3425,1014.76443
17.0,1891,1022.48406
18.0,1845,1030.047042
19.0,1911,1037.737823
17.0,2112,1046.49228
19.0,1786,1053.677958
15.0,2195,1062.760632
6.0,2725,1073.890519
19.0,1709,1080.794957
19.0,1754,1087.968485
20.0,1626,1094.664502
17.0,2253,1103.823164
3.0,3414,1117.553535
20.0,1561,1123.923563
1.0,3397,1137.729007
6.0,3025,1149.942157
1.0,3284,1163.426045
19.0,1650,1170.115921
19.0,1717,1177.240496
19.0,1712,1184.137541
20.0,1564,1190.554033
20.0,2004,1198.614515
-2.0,3315,1212.320695
17.0,2352,1222.0029
19.0,1754,1229.102144
20.0,2084,1237.780325
14.0,2111,1246.191255
19.0,1725,1253.183959
20.0,2004,1261.20189
19.0,1636,1268.032819
20.0,2002,1276.196106
20.0,1996,1284.424365
10.0,2738,1295.593457
20.0,2122,1304.144111
17.0,2322,1313.629322
18.0,1909,1321.41252
6.0,2798,1332.936085
3.0,3410,1346.908009
19.0,2137,1355.4893
20.0,1715,1362.564289
20.0,1564,1368.705305
19.0,2130,1377.517174
14.0,2334,1386.982065
20.0,1561,1393.476152
19.0,2086,1401.91162
20.0,2172,1410.843144
20.0,1721,1417.941477
19.0,2193,1426.704626
16.0,1958,1434.747985
12.0,2366,1444.251028
19.0,1635,1450.948162
19.0,2130,1459.534317
20.0,2005,1467.842803
19.0,1755,1474.915387
14.0,2413,1484.806012
14.0,2081,1493.188991
19.0,1754,1500.399342
15.0,2131,1509.113951
20.0,2089,1517.407653
15.0,2404,1527.16397
20.0,2088,1535.602637
19.0,1815,1542.890306
18.0,1889,1550.747972
14.0,2021,1558.988318
19.0,1785,1566.284832
19.0,2147,1574.781955
20.0,1627,1581.570518
-6.0,2834,1592.846943
19.0,2134,1601.788522
16.0,1847,1609.256507
5.0,3419,1623.258558
18.0,2099,1631.744425
15.0,2027,1640.11706
7.0,3122,1652.862832
18.0,1913,1660.415936
19.0,2132,1669.015678
17.0,2082,1677.555407
17.0,2188,1686.411892
15.0,2015,1694.539908
18.0,1839,1701.890625
16.0,1864,1709.663317
18.0,1973,1717.650302
7.0,3034,1730.134578
17.0,1870,1737.705791
17.0,1996,1745.780831
4.0,3325,1759.23336
20.0,2092,1767.711102
19.0,1694,1774.83083
17.0,1794,1782.034448
19.0,1729,1789.049144
