#{"t_start": 1649547155.2971554, "env_id": "PongNoFrameskip-v4"}
r,l,t
-20.0,891,5.336968
-21.0,848,8.861385
-20.0,836,12.332946
-20.0,929,16.100977
-19.0,956,19.823315
-21.0,762,22.989586
-21.0,937,26.931564
-21.0,886,30.591084
-20.0,922,34.351492
-19.0,1004,38.483096
-21.0,1034,42.574115
-19.0,959,46.695349
-20.0,1048,50.935287
-21.0,909,54.667642
-20.0,1100,59.196731
-21.0,960,63.076383
-21.0,973,67.129423
-21.0,900,70.933511
-20.0,924,74.680352
-21.0,851,78.20136
-20.0,1023,82.281261
-21.0,875,85.873149
-21.0,870,89.396989
-20.0,835,92.900414
-19.0,972,96.860835
-21.0,892,100.416924
-21.0,819,103.961917
-21.0,763,106.985559
-21.0,826,110.333282
-21.0,886,113.969344
-20.0,958,117.722508
-20.0,945,121.765872
-21.0,853,125.206154
-20.0,914,129.016985
-21.0,909,132.883735
-21.0,824,136.158097
-20.0,837,139.741416
-19.0,931,143.4089
-21.0,912,147.165524
-21.0,1031,151.48915
-20.0,893,155.15232
-21.0,881,158.675334
-19.0,1022,162.913748
-20.0,1129,167.62411
-21.0,853,171.172752
-21.0,847,174.710379
-20.0,901,178.40513
-21.0,788,181.498513
-20.0,1095,186.106749
-18.0,1444,191.989065
-19.0,1096,196.451016
-20.0,1168,201.307194
-20.0,897,205.101919
-19.0,1061,209.51928
-21.0,1122,214.115441
-18.0,1182,218.923374
-19.0,1116,223.503008
-17.0,1212,228.583011
-19.0,1063,232.876796
-18.0,1488,238.831355
-15.0,1485,244.951216
-21.0,1671,251.766051
-19.0,1415,257.474704
-15.0,2045,265.883594
-18.0,1730,272.854086
-20.0,1566,279.367159
-17.0,2048,287.681172
-19.0,2001,295.857072
-18.0,1846,303.437716
-12.0,2368,313.085648
-19.0,2080,321.614327
-18.0,2219,330.577677
-15.0,2487,340.806504
-18.0,1984,348.759809
-14.0,2747,360.077114
-17.0,2191,368.831662
-19.0,2191,377.707413
-13.0,2427,387.51499
-13.0,2460,397.457357
-9.0,2934,409.298305
-20.0,1861,416.931352
-8.0,2953,428.914948
-6.0,3039,441.166292
-15.0,1865,449.043712
-9.0,3157,461.78018
-8.0,2917,473.521516
-6.0,2521,484.0876
-5.0,2529,494.423939
-8.0,2619,504.953817
2.0,3224,517.879946
-1.0,3342,531.516616
8.0,3027,544.120419
-7.0,2626,554.501014
18.0,2169,563.382737
6.0,2791,574.749823
8.0,2686,585.708687
8.0,2660,596.571908
2.0,3115,609.258542
12.0,2424,619.02742
1.0,3133,631.906804
17.0,1927,639.498478
-4.0,2762,650.758318
-12.0,1803,657.85556
1.0,3093,670.476898
15.0,2227,679.570869
20.0,1988,687.70912
19.0,2150,696.441609
9.0,2708,707.331379
19.0,1709,714.266806
19.0,1771,721.487646
15.0,2286,730.820377
16.0,2255,740.00855
-5.0,2920,752.04113
-1.0,3523,766.242718
5.0,3258,779.330916
16.0,1863,786.866317
19.0,2100,795.322061
15.0,2060,803.983806
15.0,2357,813.393663
16.0,1924,821.1434
20.0,1733,828.133719
17.0,1782,835.655226
20.0,1623,842.109779
15.0,2008,850.316655
20.0,1562,856.557729
16.0,1930,864.268926
5.0,3004,876.62309
16.0,2010,884.940084
5.0,2997,897.153867
19.0,2101,905.879075
20.0,1996,913.898304
14.0,2285,923.396917
18.0,2251,932.455872
14.0,2403,942.39603
3.0,3333,955.944136
19.0,2224,964.754784
19.0,1776,972.138435
20.0,2013,980.257263
20.0,1623,986.797154
17.0,1784,994.332331
15.0,2019,1002.470454
19.0,1762,1009.790923
10.0,2674,1020.681615
18.0,1819,1028.213665
20.0,1627,1034.764667
19.0,2262,1044.101381
20.0,1624,1050.652449
17.0,2081,1059.189265
